blockNumber,confirmations,Month,Day,Hour,mean_value_received,variance_value_received,total_received,time_diff_first_last_received,total_tx_sent,total_tx_sent_malicious,total_tx_sent_unique,total_tx_sent_malicious_unique,total_tx_received_malicious_unique,Fraud
18643003,1223161,11,24,17,0.0491680811819846,0.0042140039241175,1.9175551660974024,620.7220138888889,60.0,0.0,25.0,0.0,0.0,0
19529722,336433,3,28,2,3.1352320138310543,32.223748361906054,90.92172840110058,2459.995115740741,48.0,0.0,28.0,0.0,0.0,0
17208642,2657787,5,7,12,0.0,0.0,0.0,0.0,4354.0,0.0,5.0,0.0,0.0,0
15601770,4264638,9,24,7,0.1688199277436017,0.0594194358856662,16.37553299112937,1100.7640393518518,401.0,0.0,46.0,0.0,0.0,0
16597381,3268900,2,10,9,0.2880415,0.0391739768549166,2.0162905,436.0025,13.0,0.0,11.0,0.0,0.0,0
6800597,13065688,11,30,13,0.0,0.0,0.0,0.0,1108.0,1.0,4.0,1.0,0.0,0
19339681,526596,3,1,10,0.01683088,0.000215798449872,0.0841544,226.35652777777776,11.0,0.0,8.0,0.0,0.0,0
19374780,491442,3,6,7,0.2722051154545454,0.0355906381008886,2.99425627,612.4458101851852,26.0,0.0,9.0,0.0,0.0,0
16860403,3005731,3,19,7,0.1376718165451031,0.0340443094517441,7.571949909980673,742.1755092592592,23.0,0.0,1.0,0.0,0.0,0
15157851,4708683,7,17,3,1.115486411162791,0.7856964998256677,47.96591568000001,882.012824074074,110.0,0.0,24.0,0.0,0.0,0
18672510,1193740,11,28,20,0.0744057257142857,0.0230111626428166,0.52084008,191.3945833333333,21.0,0.0,7.0,0.0,0.0,0
10880203,8986054,9,17,14,1.411555136272767,1.833286156082814,15.527106499000435,40.75895833333333,7.0,0.0,1.0,0.0,0.0,0
19800634,65828,5,5,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
11819668,8046461,2,9,2,0.0,0.0,0.0,0.0,4153.0,0.0,1.0,0.0,0.0,0
16761553,3104835,3,5,10,0.49419249,0.0,0.49419249,0.0,9996.0,0.0,682.0,0.0,0.0,0
15534721,4331732,9,14,19,0.1703845106833638,0.0612204322366085,6.474611405967827,1006.0943055555556,166.0,0.0,117.0,0.0,0.0,0
15941285,3924882,11,10,18,17.90981164459716,3483.3288596627085,3778.97025701,1667.256539351852,1708.0,1.0,495.0,1.0,0.0,0
16809071,3057281,3,12,2,0.4555211967366925,0.775348885867922,52.84045882145634,1077.5823611111111,196.0,0.0,55.0,0.0,0.0,0
4996236,14869947,1,29,22,0.916546809695122,1.7904374508452727,150.31367679000002,140.10538194444445,6301.0,0.0,45.0,0.0,0.0,0
16306610,3559812,12,31,18,0.0379915735593663,0.001342239174364,2.16551969288388,1007.0034953703704,89.0,0.0,33.0,0.0,0.0,0
19099881,766190,1,27,19,0.0135,2.450000000000001e-05,0.027,364.3718055555556,3.0,0.0,1.0,0.0,0.0,0
18946493,919891,1,6,6,0.0,0.0,0.0,0.0,1410.0,0.0,650.0,0.0,0.0,0
17200444,2665985,5,6,8,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
13059044,6807452,8,20,0,0.0,0.0,0.0,0.0,1410.0,0.0,650.0,0.0,0.0,0
14565916,5300612,4,11,18,0.5883450158703458,1.629562500259731,78.24988711075599,1311.9803472222222,243.0,0.0,43.0,0.0,0.0,0
19718911,147607,4,23,15,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
19782944,83193,5,2,14,0.0246282433333333,0.0003631973444351,0.22165419,518.1572222222222,18.0,0.0,9.0,0.0,0.0,0
19725266,140990,4,24,12,0.0326849757310382,0.0002839132050191,0.0653699514620764,4.448333333333333,5.0,0.0,1.0,0.0,0.0,0
17907821,1958610,8,13,18,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
11407983,8458366,12,7,21,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
14876444,4990038,5,31,3,0.0465726918672241,0.0032304674271063,0.2794361512033447,107.61604166666666,4.0,0.0,1.0,0.0,0.0,0
16484580,3381587,1,25,14,5.181839581095238,44.16520691807157,2176.37262406,567.4454398148148,746.0,0.0,19.0,0.0,0.0,0
14002450,5863990,1,14,8,0.2028335864754502,0.0558310295359432,3.448170970082653,843.2133101851852,22.0,0.0,13.0,0.0,0.0,0
19805787,60666,5,5,18,0.0163,0.0001790966666666,0.1141,10.885416666666666,25.0,0.0,1.0,0.0,0.0,0
19838848,27601,5,10,9,0.0159,0.0,0.0159,0.0,1.0,0.0,1.0,0.0,0.0,0
18790274,1075848,12,15,8,0.0,0.0,0.0,0.0,141.0,0.0,4.0,0.0,0.0,0
19756556,109962,4,28,21,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
19079672,786652,1,24,23,0.048117446231454,0.001815858785624,3.368221236201785,365.81,139.0,0.0,1.0,0.0,0.0,0
18849053,1017479,12,23,14,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
14222449,5644059,2,17,7,6.552497511507539,26.38567803715977,65.52497511507539,808.1922685185185,8.0,0.0,1.0,0.0,0.0,0
15391549,4474756,8,22,17,0.379984784111635,1.6107964584119807,125.01499397272792,2254.177025462963,2151.0,0.0,346.0,0.0,0.0,0
15616118,4250131,9,26,7,0.0,0.0,0.0,0.0,36.0,0.0,4.0,0.0,0.0,0
18312264,1553894,10,9,10,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0
19449608,416926,3,16,19,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
11575617,8290460,1,2,14,2.1241397856255784,68.07056483104463,575.6418819045317,1358.3369444444445,837.0,0.0,95.0,0.0,0.0,0
16325356,3541032,1,3,9,0.49419249,0.0,0.49419249,0.0,9996.0,0.0,682.0,0.0,0.0,0
16892578,2973646,3,23,20,0.0166666666666666,0.0001333333333333,0.05,138.84527777777777,2.0,0.0,1.0,0.0,0.0,0
17592294,2273828,6,30,13,0.7376944763970473,3.713360365262984,727.3667537274887,1654.890925925926,745.0,0.0,7.0,0.0,0.0,0
16666468,3199818,2,20,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
7430218,12435936,3,24,8,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0
14676054,5190382,4,29,0,1.0,0.5,4.0,2.298321759259259,25.0,0.0,1.0,0.0,0.0,0
